"","Age","Sex","Grade","HGT","WGT","HowDoYouDescribeYourWGT","WhatAreYouTrying2DoAbtWGT","DidYouFastToLoseWGTPast30","DidYouTakePillsToLoseWGTPast30","DidYouVomitToLoseWGTPast30","PCTWhoDescribeThemselvesOWGT","PCTWhoAreTrying2LoseWGT","PCTWhoFastedPast30Days","PCTWhoTookPillsPast30Days","PCTWhoVomitedPast30Days","PCTWhoAreOWGT","RaceEth","PCTWhoAreOBESE","PCTAtRisk4OWGT"
"1","15 years old","Male","10th grade",1.75,65.77,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"2","16 years old","Male","10th grade",1.63,48.54,"About the right weight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"3","15 years old","Female","10th grade",1.65,57.61,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Asian",NA,NA
"4","15 years old","Female","10th grade",1.65,53.98,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"5","15 years old","Female","10th grade",1.6,55.79,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Asian",NA,NA
"6","15 years old","Female","10th grade",1.6,42.64,"Slightly underweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Asian",NA,NA
"7","16 years old","Female","10th grade",1.6,44.91,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Asian",NA,NA
"8","16 years old","Female","10th grade",1.7,61.24,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"9","16 years old","Female","10th grade",1.63,65.77,"About the right weight","Stay the same weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"10","15 years old","Female","10th grade",1.73,68.04,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Asian",NA,NA
"11","15 years old","Female","9th grade",1.63,49.9,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Native Hawaiian/other PI",NA,NA
"12","16 years old","Male","11th grade",NA,NA,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"13","17 years old","Male","11th grade",NA,NA,"About the right weight","Stay the same weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"14","18 years old or older","Male","12th grade",1.96,92.99,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"15","17 years old","Female","12th grade",1.75,67.13,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"16","18 years old or older","Female","12th grade",1.63,56.7,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"17","18 years old or older","Male","12th grade",1.85,70.31,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"18","18 years old or older","Female","12th grade",1.68,56.7,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"19","18 years old or older","Female","12th grade",1.68,81.65,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"20","17 years old","Female","11th grade",1.78,81.65,"Slightly overweight","Lose weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"21","17 years old","Female","11th grade",1.6,54.43,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"22","16 years old","Female","11th grade",1.65,54.43,"About the right weight","Lose weight","Yes","Yes","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"23","16 years old","Female","11th grade",1.78,68.04,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"24","17 years old","Male","11th grade",1.78,76.2,"Slightly underweight","Gain weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"25","17 years old","Male","11th grade",1.88,58.97,"Slightly underweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"26","17 years old","Female","11th grade",NA,NA,"Slightly overweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"27","17 years old","Male","11th grade",1.78,58.97,"Slightly underweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"28","17 years old","Female","11th grade",1.7,61.24,"Slightly overweight","Lose weight","Yes","No","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"29","16 years old","Female","11th grade",1.7,72.58,"Slightly overweight","Lose weight","No","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"30","17 years old","Female","11th grade",1.7,63.5,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"31","16 years old","Female","11th grade",1.55,51.71,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"32","16 years old","Female","11th grade",1.52,58.97,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"33","16 years old","Female","12th grade",1.73,68.04,"Very overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"34","16 years old","Female","11th grade",1.65,67.13,"Very overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"35","18 years old or older","Male","11th grade",1.68,47.63,"Slightly underweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"36","17 years old","Female","11th grade",1.7,61.24,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"37","16 years old","Female","10th grade",1.78,53.07,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"38","15 years old","Male","10th grade",1.78,58.97,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"39","16 years old","Male","10th grade",1.75,55.34,"Slightly underweight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"40","15 years old","Male","10th grade",1.75,68.04,"About the right weight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"41","16 years old","Male","10th grade",1.85,69.4,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"42","16 years old","Female","10th grade",1.7,74.84,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"43","15 years old","Female","10th grade",1.73,68.04,"Slightly underweight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"44","15 years old","Male","10th grade",1.78,54.43,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"45","15 years old","Male","10th grade",1.78,79.83,"Slightly overweight","Lose weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"46","15 years old","Male","10th grade",1.78,70.31,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"47","16 years old","Female","10th grade",1.65,48.99,"Slightly underweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"48","16 years old","Female","10th grade",1.8,61.24,"About the right weight","Lose weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"49","16 years old","Female","10th grade",1.57,63.5,"Slightly overweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"50","16 years old","Female","10th grade",1.65,83.01,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"51","15 years old","Male","10th grade",1.7,63.5,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"52","16 years old","Male","10th grade",1.73,108.86,"Very overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"53","16 years old","Female","10th grade",1.63,65.77,"Slightly overweight","Lose weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"54","15 years old","Male","10th grade",1.78,73.94,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"55","15 years old","Male","10th grade",1.8,63.5,"About the right weight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"56","15 years old","Female","10th grade",1.55,44.45,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"57","16 years old","Male","10th grade",1.73,68.04,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Multiple - Non-Hispanic",NA,NA
"58","16 years old","Male","10th grade",1.75,58.51,"About the right weight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"59","16 years old","Male","10th grade",1.75,70.31,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"60","17 years old","Female","10th grade",1.57,55.79,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"61","15 years old","Female","10th grade",1.68,58.97,"About the right weight","Lose weight","Yes","Yes","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"62","16 years old","Male","10th grade",1.78,127.01,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"63","16 years old","Male","11th grade",1.68,63.5,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"64","17 years old","Female","12th grade",1.78,63.5,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"65","18 years old or older","Female","12th grade",1.65,49.9,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"66","17 years old","Female","12th grade",1.7,58.97,"About the right weight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"67","17 years old","Female","12th grade",1.6,53.52,"Slightly underweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"68","17 years old","Female","12th grade",NA,NA,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"69","18 years old or older","Female","12th grade",1.57,47.63,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"70","17 years old","Female","12th grade",1.5,53.98,"About the right weight","Lose weight","No","Yes","No",NA,NA,NA,NA,NA,NA,"Am Indian / Alaska Native",NA,NA
"71","17 years old","Male","12th grade",NA,NA,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"72","18 years old or older","Male","12th grade",1.78,79.83,"Slightly overweight","Lose weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"73","18 years old or older","Male","12th grade",1.91,86.18,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"74","17 years old","Female","12th grade",1.65,54.43,"About the right weight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"75","17 years old","Female","12th grade",1.7,47.63,"Slightly underweight","Stay the same weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"76","17 years old","Female","12th grade",1.55,43.09,"Slightly underweight","Gain weight","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"77","18 years old or older","Male","12th grade",1.88,72.58,"Slightly underweight","Gain weight","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
"78","17 years old","Male","12th grade",1.83,120.66,"Slightly overweight","Not trying to do anything","No","No","No",NA,NA,NA,NA,NA,NA,"Hispanic/Latino",NA,NA
